id,category,difficulty,stem,opt_a,opt_b,opt_c,opt_d,correct,case,rule_id,prong,explanation,tags,daily_eligible
just-011,just,3,California v. Texas (2021) found no standing because:,States waived their interest,Severability mooted the case,The ACA's individual mandate had a $0 penalty and imposed no enforced cost,The Tenth Amendment barred the suit,c,california-texas,,injury-in-fact,"With the penalty zeroed out, plaintiffs faced no concrete enforced injury from the unenforceable provision.",standing;aca,false
just-012,just,2,Frothingham v. Mellon held a federal taxpayer:,Has standing only when challenging specific tax,Has standing for any unconstitutional spending,Has standing under the Establishment Clause,Lacks standing because share of the federal pie is too small and indeterminate,d,frothingham,,injury-in-fact,The interest is shared with millions and the effect on future taxation too remote.,standing;taxpayer,false
just-013,just,3,Flast v. Cohen permits taxpayer standing when:,The Establishment Clause is involved alone,The plaintiff is also a parent,The IRS is the defendant,There is a nexus between status as taxpayer and a constitutional limit on Congress's spending power,d,flast,flast-test,injury-in-fact,Two-part nexus: (1) status to type of legislation; (2) status to specific constitutional limitation.,standing;taxpayer;flast,false
just-014,just,2,Massachusetts v. EPA recognized:,Standing for any concerned citizen,That EPA discretion is unreviewable,Special solicitude for states asserting standing,That climate change is nonjusticiable,c,mass-epa,,injury-in-fact,The Court treated states as having a quasi-sovereign interest deserving special standing solicitude.,standing;states,false
just-015,just,3,Probabilistic harm supports standing only when:,A statistical victim exists in the abstract,The probability is at least 50%,The plaintiff has bought insurance,A specific plaintiff faces certainly impending harm or substantial risk,d,clapper,standing-injury,injury-in-fact,Clapper rejected speculative chains; Susan B. Anthony List accepted credible threats.,standing;probabilistic,false
just-016,just,3,TransUnion class members whose credit reports were NOT sent to third parties:,Had standing because the database error itself was injury,Had standing only against future viewers,Had standing under FCRA's private right of action,Lacked standing for absence of common-law publication analog,d,transunion,,injury-in-fact,No publication = no defamation analog = no concrete harm under TransUnion.,standing;transunion;publication,true
just-017,just,2,Self-imposed protective measures (e.g., insurance against perceived risk):,Substitute for traceability,Always create standing,Cannot manufacture standing by themselves,d,b,clapper,,injury-in-fact,Clapper rejected this gambit; you can't bootstrap standing through your own anticipatory expenses.,standing;clapper,false
just-019,just,3,Murthy v. Missouri (2024) tightened traceability by holding that:,The First Amendment confers standing,States automatically have standing,Pre-enforcement review is unripe absent a credible threat of prosecution,"Standing requires connection to specific government conduct, not high-level generality",d,murthy,,traceability,The Court rejected diffuse claims about government 'jawboning' as insufficiently traced to specific defendants.,standing;traceability;social-media,false
just-021,just,3,A plaintiff who is the direct object of a regulation:,Must still trace through third parties,Has standing only with statutory authorization,Must seek damages,Generally has standing without complex causal analysis,d,,,traceability,Direct regulatory targets typically clear traceability easily.,standing;traceability,false
just-022,just,3,Linda RS v. Richard D. found no redressability because:,Selective prosecution is unreviewable,Jailing the father wouldn't cause him to pay support,Standing requires money damages,Mother failed to exhaust state remedies,b,linda-rs,,redressability,The remedy sought wouldn't actually redress the injury alleged (lack of payments).,standing;redressability,false
just-024,just,3,Haaland v. Brackeen reaffirmed:,"Relief must come from the judgment, not the opinion",States cannot challenge ICWA,Adoption disputes are nonjusticiable,Tribal sovereignty defeats standing,a,brackeen,,redressability,Court reasoning that doesn't bind any defendant doesn't redress; only operative judgments count.,standing;redressability,false
just-025,just,2,A court order is redressing for standing purposes when:,It binds Congress to act,Standing was forfeited by failure to raise it below,"It eliminates or reduces the injury, even partially",It produces a public benefit,c,,,redressability,Partial relief suffices for redressability; full make-whole is not required.,standing;redressability,false
just-026,just,2,Mootness burden after plaintiff has established standing rests on:,Pre-enforcement review is unripe absent a credible threat of prosecution,Plaintiff to maintain it,The court sua sponte,Defendant to show the case is moot,d,,mootness,mootness,Burden flips: defendant claiming mootness must really show the case is dead.,mootness,false
just-027,just,2,DeFunis v. Odegaard found mootness because:,He withdrew from school,Student near graduation; controversy ceased to be definite,School waived the issue,State repealed admissions policy,b,defunis,,mootness,Near-graduation rendered the dispute hypothetical; the dissent argued he could fail out and reapply.,mootness;defunis,false
just-028,just,3,Voluntary cessation moots a case only when:,Both parties consent,It is 'absolutely clear' the conduct will not recur,The court finds defendant credible,Defendant promises to stop,b,laidlaw,,mootness,Friends of the Earth: heavy burden on defendant claiming voluntary-cessation mootness.,mootness;cessation,false
just-029,just,3,City of Erie v. Pap's A.M. found the case not moot because:,The plaintiff still operated as a corporation and the injunction had preclusive effects,The injunction was retroactive,The plaintiff was a public figure,The state had a financial interest,a,city-of-erie,,mootness,Persisting injunction with preclusive effects kept the controversy alive.,mootness;city-of-erie,false
just-031,just,2,Class action mootness is sometimes preserved by:,State court intervention,Relation back if the class is later certified,Substituting any plaintiff,Defendant's promise,b,,,mootness,Sosna line: relation back can save claims that otherwise moot before certification.,mootness;class,false
just-032,just,2,Collateral consequences exception preserves a case when:,Conviction may produce future legal disabilities,Damages were originally sought,The state agrees,The plaintiff is a public official,a,,,mootness,"Even after release, lingering legal disabilities (e.g., voting) keep the case live.",mootness;criminal,false
just-034,just,2,Abbott Labs v. Gardner balanced two factors for ripeness:,Constitutional and prudential standing,Federal vs. state interest,Standing and political question,Fitness of issues for judicial decision and hardship from withholding review,d,abbott-labs,ripeness-abbott,ripeness,Two-prong ripeness test still cited.,ripeness;abbott,true
just-035,just,3,A pre-enforcement challenge is typically ripe when:,Plaintiff has a vague intent to act,Government issued a press release,The issue is purely legal and immediate compliance burden exists,Congress has committed to enforce,c,abbott-labs,,ripeness,Pure legal question + concrete compliance burden = fit for review.,ripeness;abbott,false
just-036,just,2,United Public Workers v. Mitchell denied ripeness because:,Plaintiffs alleged generalized objection without specific facts,The Hatch Act was unconstitutional,Congress had not yet enforced,Federal employees lacked a cause,a,upw-mitchell,,ripeness,Need specific intended conduct to evaluate as-applied; broad attack on policy not ripe.,ripeness;hatch,false
just-037,just,3,Susan B. Anthony List v. Driehaus found ripeness via:,Credible threat of enforcement plus chilling of constitutionally protected speech,The harm is too speculative to be 'certainly impending' under Clapper,State settlement offer,Past enforcement against the plaintiff personally,a,sba-driehaus,,ripeness,Articulated standard: intent to engage in arguably proscribed conduct + credible threat = ripe.,ripeness;chilling,true
just-038,just,3,Clapper involves elements of:,The injury fails the concreteness requirement under TransUnion,Political question,The chain of causation runs through independent third-party choices,Both standing and ripeness,d,clapper,,ripeness,Whether harm is 'certainly impending' is both an injury-in-fact and a ripeness inquiry.,ripeness;clapper,false
just-039,just,3,The shape of the substantive right matters to ripeness because:,Statutes of limitations control timing,Damages availability changes the test,States can opt out,Chilling effect on protected speech accelerates injury,d,sba-driehaus,,ripeness,Speech-chilling laws don't require waiting for prosecution.,ripeness;speech,false
just-040,just,2,A 'pure legal question' tends to favor ripeness because:,Courts prefer policy questions,Damages are easier to assess,Statutes of limitation favor early review,It needs no further factual development,d,abbott-labs,,ripeness,Fitness prong of Abbott Labs is satisfied when no further facts are needed.,ripeness;legal-question,false
just-041,just,3,The political question doctrine protects:,State interests,Allocations of authority by the Constitution to other branches,Both b and c,Article III courts from overreach,c,,,political-question,"Baker v. Carr factors: textually committed authority, lack of judicially manageable standards, etc.",political-question,false
just-042,just,3,Baker v. Carr held that legislative apportionment was:,A nonjusticiable political question,Reviewable only by Congress,Reserved to state courts,Justiciable under the Equal Protection Clause,d,,,political-question,Baker established that the political question doctrine isn't triggered just because politics is involved.,political-question;baker,false
just-044,just,2,Article III standing requires:,Statutory authorization plus injury,"Injury in fact, traceability, and redressability",Substantial federal interest,Just injury and redressability,b,lujan,standing-art3,standing,Three-prong constitutional test from Lujan.,standing;black-letter,false
just-046,just,3,Congress can override which kind of standing limit?,The harm is too speculative to be 'certainly impending' under Clapper,Article III injury,Prudential standing limits,The chain of causation runs through independent third-party choices,c,,standing-prudential,standing,Constitutional limits cannot be overridden by Congress; prudential limits can.,standing;congress,false
just-047,just,2,Allen v. Wright's stigmatic injury claim failed because:,The IRS was immune,Congress had not authorized,Plaintiffs were not in the affected schools,Stigma alone wasn't a particularized injury,c,allen-wright,,injury-in-fact,Better plaintiff would be a student in the affected district.,standing;allen,false
just-048,just,3,An overprotection-of-federal-rights concern arises when:,Congress over-delegates,States enact more protective laws,State courts interpret federal rights too broadly,Federal courts strike state law,c,michigan-long,,scsr,Concern that broad state interpretations of federal rights freeze them in place; SC may want to review.,scsr;michigan-long,false
just-049,just,4,A plaintiff who challenges agency action under the APA generally must show:,Any public interest,State court exhaustion,Article III standing PLUS arguable zone of interests,The political question doctrine bars judicial resolution,c,,,zone-of-interests,APA reviewability + zone of interests test for prudential standing.,apa;zone-of-interests,false
just-050,just,3,Ex parte McCardle is most relevant to which justiciability concept?,The harm is too speculative to be 'certainly impending' under Clapper,Political question,The injury fails the concreteness requirement under TransUnion,Jurisdictional manipulation by Congress,d,mccardle,,jurisdiction-stripping,"Strictly speaking it's congressional control of jurisdiction, but it raises the question of when a case becomes nonjusticiable mid-stream.",jurisdiction;mccardle,false
just-051,just,4,'Hypo: Plaintiff alleges federal agency rule will harm a species he plans to study three years from now if grant funding is renewed.' Best challenge:,Generalized grievance,Concrete injury,Redressability,Injury too speculative under Lujan,d,lujan,standing-art3,injury-in-fact,Future contingent travel without imminent plans = no imminent injury under Lujan.,hypo;standing,false
just-052,just,4,'Hypo: City passes ordinance fining vendors for selling 'soft drinks' over 16oz; plaintiff vendor has 17oz inventory and ordinance takes effect tomorrow.' Best ripeness analysis:,Moot: defendant offered to amend,Nonjusticiable,Ripe: pure legal question + immediate compliance burden,Not ripe: must wait for enforcement,c,abbott-labs,ripeness-abbott,ripeness,Immediate compliance pressure satisfies hardship; legal question fits Abbott Labs.,hypo;ripeness,false
just-053,just,4,'Hypo: P sues to enjoin Treasury from spending money she alleges violates Establishment Clause; she pleads no other injury.' Best analysis:,Standing under Flast nexus test,Standing under Article II,Standing as concerned citizen,No standing under Frothingham,a,flast,flast-test,injury-in-fact,Establishment Clause spending is the narrow Flast exception to taxpayer-standing bar.,hypo;flast;taxpayer,false
just-054,just,3,'Hypo: P seeks declaratory judgment that statute is unconstitutional but never plans to violate it.' Best analysis:,Imminent injury,No injury — speculative,Concrete injury,Redressable injury,b,,standing-art3,injury-in-fact,No intent to engage in proscribed conduct = no credible threat of enforcement = no injury.,hypo;standing,false
just-056,just,3,The Court's 'special solicitude' for state standing in Massachusetts v. EPA has been:,Codified by Congress,Robustly applied since,Standing was forfeited by failure to raise it below,Limited and narrowly read in subsequent cases,d,mass-epa,,injury-in-fact,"Subsequent cases (e.g., AHM) treat Massachusetts as fact-bound; states don't get a free pass.",states;standing,false
just-057,just,2,Generalized grievances are barred because:,They lack particularization,Both a and b are typical justifications,They are too easy to manufacture,Neither — Congress has waived,b,richardson,standing-prudential,generalized-grievance,Public-rights claims shared by all citizens generally fall to political branches.,standing;generalized-grievance,false
just-058,just,3,'Hypo: federal statute provides that 'any citizen' may sue to enforce conservation rules.' Under Lujan:,Standing turns on Congress's intent,Statute cannot manufacture Article III injury,Standing exists with traceability only,Standing exists by statute,b,lujan,standing-art3,injury-in-fact,"Congress can create rights, but cannot dispense with the constitutional injury requirement.",lujan;congress;standing,false
just-059,just,3,Procedural injury alone:,Always defeats standing,Suffices for standing,Requires an underlying concrete interest,Is unique to APA cases,c,summers,,injury-in-fact,Lujan/Summers: must have concrete interest behind the procedural complaint.,procedural-injury;standing,false
just-060,just,2,'Voluntary cessation' doctrine reflects:,Mootness as prudential,Courts' efficiency,Concern that defendants will resume conduct after dismissal,Standing's burden of proof,c,laidlaw,,mootness,"Without high burden, defendants could whipsaw plaintiffs by ceasing/resuming.",mootness;laidlaw,false
just-061,just,4,'Hypo: After litigation began the agency rescinded the challenged rule.' Best analysis:,Generalized grievance bars federal jurisdiction,Pre-enforcement review is unripe absent a credible threat of prosecution,Nonjusticiable,Likely moot unless cessation reversible,d,laidlaw,,mootness,Heavy defendant burden under Friends of the Earth; some agency rescissions can be re-promulgated.,hypo;mootness,false
just-064,just,2,A federal court that finds a case moot:,Should still issue declaratory relief,Lacks Article III jurisdiction,Should issue an advisory opinion,Should certify state-law questions,b,,,mootness,Mootness deprives the court of Article III power.,mootness,false
just-066,just,4,'Hypo: After a court grants a TRO,Case may not be moot if injunction has continuing effect,Standing fails, defendant business closes its doors; injunction remains in force.' Best analysis:,Always moot when business closes,d,a,city-of-erie,,mootness,City of Erie: ongoing injunction effects can preserve a live case despite changed circumstances.,hypo;mootness;city-of-erie,false
just-067,just,3,'Public rights' under Lujan refers to:,Equal protection,Statutory entitlements,Common-law remedies,Diffuse rights to lawful government,d,lujan,,generalized-grievance,Citizens' interest in lawful government generally is an undifferentiated public right.,lujan;public-rights,false
just-068,just,3,The injury for ESA-violation standing requires plaintiff to show:,Membership in an environmental group,Specific intent to use affected habitat with concrete plans,Congressional finding,Statutory authorization,b,lujan,,injury-in-fact,"Plane tickets, identifiable trips, professional research plans — concrete enough.",lujan;esa,false
cong-001,cong,2,The Madisonian Compromise refers to:,Federalism in spending,The Article V amendment process,Congress's discretion whether to create lower federal courts,States retaining sovereignty,c,,,jurisdiction,Article III creates SCOTUS but leaves lower court creation to Congress.,jurisdiction;structure,false
cong-002,cong,2,The Exceptions Clause allows Congress to:,Create exceptions to SCOTUS appellate jurisdiction,Override Article III protections,Strip life tenure,Eliminate the Supreme Court,a,,,jurisdiction-stripping,Article III § 2: appellate jurisdiction is 'subject to such exceptions and under such regulations as the Congress shall make.',exceptions-clause,false
cong-003,cong,3,Sheldon v. Sill held that:,SCOTUS lacks original jurisdiction,Congress can withhold from inferior courts any case in Article III,Article III is self-executing,Diversity jurisdiction is mandatory,b,sheldon-sill,,jurisdiction-stripping,Inferior courts have only the jurisdiction Congress confers; the assignee restriction was valid.,sheldon-sill;jurisdiction-stripping,false
cong-004,cong,3,Ex parte McCardle established that Congress may:,Strip appellate jurisdiction even mid-case,Repeal Article III,Bypass the Constitution,Override SCOTUS judgments,a,mccardle,,jurisdiction-stripping,Reconstruction Congress repealed the statutory basis for habeas appeal mid-litigation; SC said it had no jurisdiction.,mccardle;jurisdiction-stripping,false
cong-005,cong,3,Ex parte Yerger limited McCardle by:,Making jurisdiction unreviewable,The Exceptions Clause permits Congress to strip appellate jurisdiction here,Recognizing alternative jurisdictional routes for habeas,Adding due process protections,c,yerger,,jurisdiction-stripping,Yerger: McCardle's repeal didn't strip all habeas paths; original jurisdiction route still existed.,yerger;mccardle,false
cong-008,cong,3,The 'Central Functions Theory' of Article III holds:,Diversity is mandatory,States must hear all federal claims,Congress has unlimited Exceptions Clause power,Congress can't strip the Court of essential roles,d,,,jurisdiction-stripping,Hart/Ratner: Congress may not eliminate the Court's essential constitutional functions.,jurisdiction-stripping;central-functions,false
cong-009,cong,3,External limits on jurisdiction-stripping include:,Federalism alone,Public-rights doctrine permits non-Article III adjudication,Due Process and Equal Protection,Tenth Amendment,c,,,jurisdiction-stripping,Constitutional rights independent of Article III may be infringed by jurisdiction-stripping.,external-limits;jurisdiction-stripping,false
cong-012,cong,3,Congress's power to refuse to create lower federal courts implies:,Mandatory diversity,Power to abolish SCOTUS,No power over jurisdiction,Power to create them with limited jurisdiction,d,sheldon-sill,,jurisdiction-stripping,"If creation is optional, lesser jurisdictional limits are also permissible.",sheldon-sill;greater-includes-lesser,false
cong-013,cong,4,Boumediene v. Bush limited jurisdiction-stripping by holding that:,McCardle was wrongly decided,Article I supersedes Article III,Article III is self-executing,The Suspension Clause protects habeas at Guantanamo,d,boumediene,,jurisdiction-stripping,Suspension Clause is a constitutional limit on Congress's habeas power.,boumediene;suspension,true
cong-017,cong,3,Ratner's central-functions theory emphasizes:,Article III's vesting clause requires the case to land somewhere in the federal courts,Uniformity and supremacy of federal law,Equal protection,Magistrate adjunct theory requires de novo Article III review,b,,,jurisdiction-stripping,Court must retain enough jurisdiction to ensure uniform federal law.,ratner;central-functions,false
cong-018,cong,3,A 'jurisdictional manipulation' problem (Klein) arises when:,Congress strips jurisdiction in order to dictate the outcome,Congress repeals diversity,Congress sets pleading rules,Congress preempts state law,a,klein,,jurisdiction-stripping,Klein: jurisdictional limits used to compel a substantive result violate Article III/separation of powers.,klein;manipulation,false
cong-019,cong,2,Northern Pipeline v. Marathon held that:,Bankruptcy court could not adjudicate state-law contract claims,Magistrates are unconstitutional,Bankruptcy is unconstitutional,Article III courts cannot hear bankruptcy,a,northern-pipeline,,non-art-iii,Plurality: essential attributes of judicial power must remain in Article III courts.,northern-pipeline;non-art-iii,false
cong-021,cong,3,Thomas v. Union Carbide upheld FIFRA arbitration because:,Article I supremacy,All disputes were public,Parties consented,Right to compensation was federally created,d,thomas,,non-art-iii,Federal creation of the right gave Congress more flexibility to channel adjudication.,thomas;non-art-iii,false
cong-023,cong,4,Stern v. Marshall held that:,All bankruptcy proceedings unconstitutional,Wellness was wrongly decided,Magistrates may not hear cases,Bankruptcy court cannot enter final judgment on state-law tort counterclaim not resolved by claim adjudication,d,stern,public-rights,non-art-iii,Counterclaim that wasn't necessary to claim adjudication required Article III court.,stern;non-art-iii,true
cong-025,cong,3,United States v. Raddatz upheld magistrate suppression hearings because:,District court de novo review preserves essential Article III,Suppression is non-judicial,Magistrates are Article III,Congress has unlimited power,a,raddatz,,non-art-iii,Adjunct theory: Article III judge retains essential decisional authority.,raddatz;magistrates,false
cong-026,cong,3,Peretz v. United States permitted magistrates to:,Hear capital cases without review,Enter final convictions,Conduct felony voir dire with consent,Magistrate adjunct theory requires de novo Article III review,c,peretz,,non-art-iii,"With consent and limited scope, magistrates can run substantial portions of trial.",peretz;magistrates,false
cong-027,cong,3,The 'public rights' doctrine traditionally:,Applies to private disputes only,Permits non-Article III adjudication of rights between citizens and government created by Congress,Bars all non-Article III adjudication,Was overruled in Stern,b,thomas,public-rights,non-art-iii,Founding-era doctrine: public rights flexibility for federally created rights.,public-rights;non-art-iii,false
cong-029,cong,3,Stern's dissent emphasized:,Bankruptcy practical importance and complexity,Public rights doctrine,The bankruptcy court lacked authority to enter final judgment,Anti-commandeering,a,stern,,non-art-iii,Breyer dissent: bankruptcy administration would collapse without Article I court.,stern;dissent,false
cong-030,cong,4,'Hypo: Congress creates a new federal cause of action and assigns it to a new ALJ system without Article III review.' Best analysis:,Plainly constitutional,Article I review suffices,Plainly unconstitutional always,Likely violates Article III absent public rights or consent,d,northern-pipeline,public-rights,non-art-iii,"Without public rights or consent, essential attributes must be in Article III courts.",hypo;non-art-iii,false
cong-031,cong,3,Magistrate Act consent requirement reflects:,Litigant consent saves the Article I structure under Wellness,Concern about reallocating Article III work,Congress's Article I commerce power does not reach this conduct,Crowell's jurisdictional-fact doctrine no longer bars this,b,peretz,,non-art-iii,Consent is the legitimating mechanism for non-Article III decision-making.,magistrates;consent,false
cong-032,cong,3,A 'legislative court' may permissibly include:,"Bankruptcy, tax, military, territorial",Only Article III,Public-rights doctrine permits non-Article III adjudication,Crowell's jurisdictional-fact doctrine no longer bars this,a,,,non-art-iii,"Historical exceptions: military, territorial, public rights, etc.",legislative-courts,false
cong-034,cong,3,Why does Article III protect tenure and salary?,Geographic distribution,Independence from political branches,Klein bars Congress from manipulating jurisdiction to dictate outcome,Magistrate adjunct theory requires de novo Article III review,b,,,structure,Federalist independence rationale.,article-iii;independence,false
cong-035,cong,3,The Court's reasoning in CFTC v. Schor that consent matters because:,Consent eliminates Article III,Litigant consent saves the Article I structure under Wellness,Magistrate adjunct theory requires de novo Article III review,Litigants can waive structural protections in some contexts,d,schor,,non-art-iii,Schor: parties' choice of forum is one factor in non-Article III analysis.,schor;consent,false
cong-036,cong,4,A 'private right' for Article III purposes is most associated with:,The bankruptcy court lacked authority to enter final judgment,Public-benefits programs,Common-law claims between two citizens,Federal regulatory disputes,c,northern-pipeline,,non-art-iii,Private rights are core Article III work.,private-rights;non-art-iii,false
cong-037,cong,3,Northern Pipeline's plurality said the 'essential attributes' test means:,Bankruptcy is per se invalid,All work must be in Article III,Article III courts must retain core judicial functions,Magistrates are unconstitutional,c,northern-pipeline,,non-art-iii,Plurality articulated the foundational principle that essential attributes can't be reassigned.,northern-pipeline;essential-attributes,false
cong-039,cong,3,Wellness's reasoning emphasizes:,Knowing and voluntary litigant consent,Unlimited Congressional power,Schor's multi-factor balancing weighs against this assignment,The Suspension Clause limits Congress's habeas-stripping power,a,wellness,,non-art-iii,Consent as the saving grace.,wellness;consent,false
cong-040,cong,3,The 'adjunct theory' of non-Article III courts requires:,Real Article III judge retains decisional authority,Crowell's jurisdictional-fact doctrine no longer bars this,Federal creation only,Stern's narrow rule applies to state-law counterclaims,a,crowell,,non-art-iii,"Crowell: Article III judges supervise; agency is helper, not decider.",adjunct-theory;crowell,false
cong-041,cong,3,Stern was decided 5-4 with the majority emphasizing:,Functionalist balancing,Formal Article III protections,State sovereignty,Sheldon v. Sill permits any limit on inferior-court jurisdiction,b,stern,,non-art-iii,Roberts majority took a more formal Article III-protective view.,stern;formalism,false
cong-042,cong,3,Thomas v. Union Carbide allowed binding arbitration because:,States supported,Arbitration is favored generally,FIFRA created the underlying right,Parties consented,c,thomas,,non-art-iii,Federal creation of right + limited judicial review = OK.,thomas;non-art-iii,false
cong-043,cong,3,Crowell's 'jurisdictional facts' doctrine has been:,Limited but not formally overruled,Crowell's jurisdictional-fact doctrine no longer bars this,Mandatorily applied,Stern's narrow rule applies to state-law counterclaims,a,crowell,,non-art-iii,Modern courts haven't required de novo review of jurisdictional facts as strictly.,crowell;jurisdictional-facts,false
cong-045,cong,2,The Constitution lists Article III judges' compensation as:,Subject to inflation,Determined by Congress without limit,Not to be diminished during continuance in office,Litigant consent saves the Article I structure under Wellness,c,,,structure,Compensation Clause: salary cannot be reduced during service.,article-iii;compensation,false
cong-046,cong,3,Public-rights flexibility historically extended to:,Litigant consent saves the Article I structure under Wellness,Klein bars Congress from manipulating jurisdiction to dictate outcome,Diversity cases,"Customs cases, public lands, immigration",d,thomas,,non-art-iii,Founding-era examples involved government-citizen disputes over governmentally controlled rights.,public-rights;history,false
cong-047,cong,3,'Magistrate consent' is constitutionally significant because:,Magistrates have no power,Article III is non-waivable,It acts as a waiver of Article III protections,Sheldon v. Sill permits any limit on inferior-court jurisdiction,c,peretz,,non-art-iii,Consent doctrine as gateway for non-Article III adjudication.,magistrates;consent,false
cong-048,cong,4,'Hypo: ALJ enters final order with no appeal possible.' Constitutional analysis:,Public-rights doctrine permits non-Article III adjudication,Likely invalid absent public rights or consent,Crowell's jurisdictional-fact doctrine no longer bars this,Sheldon v. Sill permits any limit on inferior-court jurisdiction,b,northern-pipeline,,non-art-iii,"Absent saving doctrine, finality without Article III review violates structural separation.",hypo;non-art-iii,false
cong-049,cong,3,The 'plan of convention' theory of jurisdiction-stripping:,States surrendered some sovereignty by ratification,Article III is mandatory,States are paramount,Congress is unlimited,a,,,jurisdiction-stripping,States ceded immunities tied to powers complete in themselves.,plan-of-convention;jurisdiction,false
cong-050,cong,3,Why isn't Congress's repeal of jurisdiction in McCardle treated as a Klein violation?,Klein wasn't yet decided,"It applied to a category of cases, not directing outcomes",Magistrate adjunct theory requires de novo Article III review,McCardle was wrong,b,mccardle,,jurisdiction-stripping,Categorical repeal vs. outcome-rigging is the line drawn.,mccardle;klein;distinction,false
fqj-001,fqj,2,Article III's grant of FQJ extends to:,Cases with any federal ingredient,Only constitutional cases,Only cases with diversity,Only criminal cases,a,osborn,,fqj-art3,Osborn: federal ingredient sufficient.,fqj;article-iii;osborn,false
fqj-002,fqj,3,The 'well-pleaded complaint' rule comes from:,§ 1367(b) bars supplemental jurisdiction in this diversity posture,Mottley,Shoshone Mining defeats FQJ even though federal law creates the claim,Mottley's well-pleaded complaint rule bars federal jurisdiction,b,mottley,mottley-wpc,well-pleaded,L&N v. Mottley: federal question must appear in plaintiff's properly stated claim.,mottley;wpc,false
fqj-004,fqj,2,The Holmes rule from American Well Works:,States can opt in,Action arises under the law that creates the cause of action,Ignores well-pleaded complaint,Embedded federal questions suffice,b,amwell,holmes-rule,statutory-grant,Default test for arising-under jurisdiction.,holmes-rule;amwell,false
fqj-005,fqj,3,Smith v. Kansas City Title held that:,Diversity is mandatory,All state-law claims defeat FQJ,Mottley was wrong,Embedded federal question may confer FQJ,d,smith,,embedded-fq,State-law claim turning on validity of federal bonds had FQJ.,smith;embedded,false
fqj-008,fqj,4,Grable v. Darue articulated four factors:,Skelly Oil extends Mottley to declaratory-judgment plaintiffs,Mottley's well-pleaded complaint rule bars federal jurisdiction,Verlinden-style protective jurisdiction is unavailable,"Necessarily raised, actually disputed, substantial, balance",d,grable,grable-fqj,embedded-fq,All four required (Gunn v. Minton).,grable;embedded,true
fqj-009,fqj,4,Gunn v. Minton clarified that Grable's factors:,All four Grable factors are not satisfied,Are constitutional,Owen v. Kroger forbids destruction of complete diversity,Must all be met,d,gunn,grable-fqj,embedded-fq,Not balanced; all four required for FQJ.,gunn;grable,false
